date,address,1st,4th,6th,5min,5min2,study,partial,site,lat,lng
2017-07-20,3650 W. 57th Pl. ,3.3,4.9,7.3,2.8,,TRUE,FALSE,2,41.7890129,-87.7154547
2017-08-17,3650 W. 57th Pl. ,5.4,9,8.7,3.6,,TRUE,FALSE,2,41.7890129,-87.7154547
2016-11-22,3650 S. Paulina St. ,2.9,0.8,0.7,0.6,,TRUE,FALSE,1,41.8272634,-87.668198
2017-03-10,3650 S. Paulina St. ,1.1,0.5,0.5,0.4,,TRUE,FALSE,1,41.8272634,-87.668198
2017-04-13,3650 S. Paulina St. ,3.3,0.7,0.7,0.5,,TRUE,FALSE,1,41.8272634,-87.668198
2016-10-26,3650 W. 57th Pl. ,0,0,0.3,0.3,,TRUE,FALSE,3,41.7890129,-87.7154547
2016-11-22,3650 S. Paulina St. ,2.7,4.4,4.5,2.3,,TRUE,FALSE,2,41.8272634,-87.668198
2017-03-10,3650 S. Paulina St. ,4.6,10,6.6,1.8,,TRUE,FALSE,2,41.8272634,-87.668198
2017-04-13,3650 S. Paulina St. ,9.1,8.9,4.7,2.1,,TRUE,FALSE,2,41.8272634,-87.668198
2017-05-23,3650 S. Paulina St. ,270,12,7.9,2.9,,TRUE,FALSE,2,41.8272634,-87.668198
2017-06-15,3650 S. Paulina St. ,4.1,4.7,4.8,3.1,3.2,TRUE,FALSE,2,41.8272634,-87.668198
2017-07-13,3650 S. Paulina St. ,3.8,6.2,7.4,3,,TRUE,FALSE,2,41.8272634,-87.668198
2017-08-17,3650 S. Paulina St. ,4,4.6,4.4,3.5,,TRUE,FALSE,2,41.8272634,-87.668198
2017-05-11,3650 N. Drake Ave.,2.4,1.8,1.7,2,,TRUE,FALSE,,41.9474527,-87.7164086
2017-08-24,3650 N. Drake Ave.,2,4,4.2,2.4,,TRUE,FALSE,,41.9474527,-87.7164086
2016-11-22,3650 S. Paulina St. ,2.2,3.1,2.1,1.8,,TRUE,FALSE,3,41.8272634,-87.668198
2017-03-10,3650 S. Paulina St. ,3.3,3.4,2.3,1.8,,TRUE,FALSE,3,41.8272634,-87.668198
2017-05-09,3650 N. Whipple St.,1.2,2.1,2.4,1.1,,TRUE,FALSE,,41.9481711,-87.7044951
2017-05-04,3750 N. Whipple St. ,2.1,1.9,1.5,1,,TRUE,FALSE,1,41.949962,-87.7045123
2017-05-11,3750 N. Drake Ave. ,0.7,2.1,2.2,0.6,,TRUE,FALSE,1,41.9492599,-87.7164515
2017-08-24,3750 N. Drake Ave. ,1.2,2,2.2,1.2,,TRUE,FALSE,1,41.9492599,-87.7164515
2017-04-25,3750 S. Michigan Ave.,3.5,5.3,4.8,1.5,,TRUE,FALSE,,41.825837,-87.62366
2016-10-26,3750 W. 57th Pl. ,0.8,0.4,0.5,0.4,,TRUE,FALSE,1,41.7889762,-87.7176657
2017-03-17,3750 W. 57th Pl. ,0.7,1.1,0.5,0.5,,TRUE,FALSE,1,41.7889762,-87.7176657
2017-05-11,3750 N. Drake Ave. ,2.1,3.8,3.3,1.7,,TRUE,FALSE,2,41.9492599,-87.7164515
2017-08-24,3750 N. Drake Ave. ,4.4,6,4.9,4.4,,TRUE,FALSE,2,41.9492599,-87.7164515
2017-05-11,3750 N. Drake Ave. ,2.2,4,2.5,1.2,,TRUE,FALSE,3,41.9492599,-87.7164515
2017-08-24,3750 N. Drake Ave. ,2.9,6.3,4.3,2.5,,TRUE,FALSE,3,41.9492599,-87.7164515
2016-10-25,3750 W. Ferdinand St.,5.9,5.5,4.8,3.3,,TRUE,FALSE,,41.8899112,-87.720168
2017-07-11,3750 W. Ferdinand St.,6.1,5.2,4.4,3.1,,TRUE,FALSE,,41.8899112,-87.720168
2017-08-23,3750 W. Ferdinand St.,4.3,4.4,4.1,3.6,3.6,TRUE,FALSE,,41.8899112,-87.720168
2017-05-10,3750 N. Drake Ave. ,0.9,1.1,1.2,0.7,0.7,TRUE,FALSE,4,41.9492599,-87.7164515
2017-08-24,3750 N. Drake Ave. ,1.6,2.3,2.4,2,,TRUE,FALSE,4,41.9492599,-87.7164515
2017-05-05,3750 N. Whipple St. ,3.7,20,13,2.2,,TRUE,FALSE,1,41.949962,-87.7045123
2016-10-26,3750 W. 57th Pl. ,0.5,0.5,0.7,0.7,,TRUE,FALSE,2,41.7889762,-87.7176657
2017-03-17,3750 W. 57th Pl. ,0.5,0.5,0.7,0.4,,TRUE,FALSE,2,41.7889762,-87.7176657
2017-05-09,3750 N. Whipple St. ,2.2,2,2,1.4,1.2,TRUE,FALSE,2,41.949962,-87.7045123
2017-06-13,3750 W. Eddy St.,1.3,2.3,2,0.8,,TRUE,FALSE,,41.9457307,-87.7220141
2017-07-13,3750 W. Eddy St.,1.4,3.1,2.2,0.9,,TRUE,FALSE,,41.9457307,-87.7220141
2017-05-05,3750 N. Whipple St. ,1.1,1.9,1.5,0.3,,TRUE,FALSE,3,41.949962,-87.7045123
2017-05-05,3750 N. Whipple St. ,2.7,3.9,4.7,1.6,,TRUE,FALSE,4,41.949962,-87.7045123
2017-05-04,3750 N. Whipple St. ,5.8,7,6.9,2.6,,TRUE,FALSE,5,41.949962,-87.7045123
2017-04-04,3850 N. Kenneth Ave.,1.9,2.7,1.9,0.9,,TRUE,FALSE,,41.9513674,-87.7397919
2017-04-25,3850 N. Kenneth Ave.,2.3,3,3.3,1.1,,TRUE,FALSE,,41.9513674,-87.7397919
2017-05-04,3850 N. Whipple St. ,0.8,1.2,1.4,0.5,,TRUE,FALSE,1,41.9518122,-87.7045797
2017-05-09,3850 N. Whipple St. ,4.5,0.9,0.7,0.4,,TRUE,FALSE,2,41.9518122,-87.7045797
2017-05-09,3850 N. Whipple St. ,13,26,23,5.6,,TRUE,FALSE,3,41.9518122,-87.7045797
2017-05-10,3850 N. Drake Ave.,0,0,0,0,,TRUE,FALSE,,41.951616,-87.7167708
2017-08-23,3850 N. Drake Ave.,0,0,0,0.3,,TRUE,FALSE,,41.951616,-87.7167708
2017-05-30,3850 N. Kedvale Ave.,5.4,4.7,8.8,2.2,,TRUE,FALSE,,41.9514555,-87.731119
2017-05-04,3950 N. Whipple St. ,12,33,25,5.1,,TRUE,FALSE,1,41.953414,-87.7043323
2017-05-05,3950 N. Whipple St. ,5.1,12,6.6,7.9,,TRUE,FALSE,2,41.953414,-87.7043323
2017-05-05,3950 N. Whipple St. ,4.2,7.1,6.5,1.9,,TRUE,FALSE,3,41.953414,-87.7043323
2016-11-02,3950 W. 57th Pl.,1.6,3.3,3.3,1.6,,TRUE,FALSE,,41.7889054,-87.7224425
2017-03-17,3950 W. 57th Pl.,1.8,3,2.9,1.3,,TRUE,FALSE,,41.7889054,-87.7224425
2017-07-07,4050 W. Carroll Ave. ,1.5,2.4,1.9,1.2,,TRUE,FALSE,1,41.8869929,-87.727824
2017-07-06,4050 W. Carroll Ave. ,6.7,9,8.8,4.7,,TRUE,FALSE,2,41.8869929,-87.727824
2017-06-02,4150 N. Troy St.,1.2,2.5,2.5,1.7,,TRUE,FALSE,,41.9572471,-87.7071969
2017-06-13,4150 N. Troy St.,2,5.3,3.6,2,,TRUE,FALSE,,41.9572471,-87.7071969
2016-09-29,450 W. 103rd St.,0,0,0,0,,TRUE,FALSE,,41.7072839,-87.6348919
2017-01-10,450 W. 103rd St.,0,0,0,0,,TRUE,FALSE,,41.7072839,-87.6348919
2016-09-29,450 W. 101st Pl. ,1.3,2.5,2.3,1.1,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-01-10,450 W. 101st Pl. ,0.9,1.7,6.4,0.5,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-02-08,450 W. 101st Pl. ,1,2.3,1.8,0.6,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-03-10,450 W. 101st Pl. ,0.8,2.4,1.8,0.6,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-04-04,450 W. 101st Pl. ,1,1.9,1.8,0.6,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-05-09,450 W. 101st Pl. ,1,3.6,2.5,1.1,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-06-06,450 W. 101st Pl. ,1.2,3.6,2.5,1.1,,TRUE,FALSE,1,41.7100208,-87.6354337
2017-06-21,4250 S. Indiana Ave.,0.9,1.3,1.7,1.5,,TRUE,FALSE,,41.816794,-87.621836
2016-09-29,450 W. 101st Pl. ,3.5,5.8,7.2,3.1,,TRUE,FALSE,2,41.7100208,-87.6354337
2017-01-10,450 W. 101st Pl. ,5.3,6.9,6.2,6.8,,TRUE,FALSE,2,41.7100208,-87.6354337
2017-02-22,4250 W. Hirsch St.,1.1,0.6,0.7,0.5,,TRUE,FALSE,,41.9063399,-87.7333148
2017-03-01,4250 W. Hirsch St.,1.9,0.7,0.7,0.6,,TRUE,FALSE,,41.9063399,-87.7333148
2016-09-29,450 W. 101st Pl. ,4.9,7.9,9.4,6,,TRUE,FALSE,3,41.7100208,-87.6354337
2017-01-11,450 W. 101st Pl. ,6.2,8.4,7.6,2.8,,TRUE,FALSE,3,41.7100208,-87.6354337
2016-09-29,450 W. 101st Pl. ,1.6,2.4,2.4,1.7,,TRUE,FALSE,4,41.7100208,-87.6354337
2017-01-11,450 W. 101st Pl. ,2.6,2.3,4.2,1.6,,TRUE,FALSE,4,41.7100208,-87.6354337
2016-09-28,450 W. 101st Pl. ,4.8,2.6,2.8,2.8,,TRUE,FALSE,5,41.7100208,-87.6354337
2017-04-26,4350 N. Campbell Ave.,2.4,5.1,5.7,2,,TRUE,FALSE,,41.9610006,-87.6919548
2017-05-10,4350 N. Campbell Ave.,6.3,5.6,5.9,2,,TRUE,FALSE,,41.9610006,-87.6919548
2016-09-28,450 W. 102nd St.,3.3,4.2,3.6,2.9,,TRUE,FALSE,,41.7090723,-87.6354143
2017-01-19,450 W. 102nd St.,2.6,3,3.1,0.9,0.9,TRUE,FALSE,,41.7090723,-87.6354143
2017-08-08,450 W. 80th St.,1.9,2,2.2,1.4,,TRUE,FALSE,,41.7491078,-87.6362402
2016-09-28,450 W. 101st Pl. ,1.8,1.5,1.9,1.1,,TRUE,FALSE,6,41.7100208,-87.6354337
2017-01-10,450 W. 101st Pl. ,1.4,0.8,0.6,0.5,,TRUE,FALSE,6,41.7100208,-87.6354337
2016-09-28,450 W. 101st Pl. ,0.9,2.1,2.2,1,,TRUE,FALSE,7,41.7100208,-87.6354337
2017-01-10,450 W. 101st Pl. ,1,1.9,5.3,0.6,,TRUE,FALSE,7,41.7100208,-87.6354337
2016-10-27,4450 N. Hamilton Ave.,1.7,1.9,1.8,1.1,,TRUE,FALSE,,41.9625768,-87.6822425
2017-01-18,4450 N. Hamilton Ave.,1,2.2,3.2,1.2,,TRUE,FALSE,,41.9625768,-87.6822425
2017-08-09,4450 N. Sacramento Ave. ,4.5,6.7,6.3,4.3,,TRUE,FALSE,1,41.9627113,-87.7036558
2016-09-20,4450 N. Albany Ave. ,8.7,13,13,2.7,,TRUE,FALSE,1,41.9627217,-87.7061194
2017-01-04,4450 N. Albany Ave. ,6.2,2.7,2.9,1.1,,TRUE,FALSE,1,41.9627217,-87.7061194
2017-06-29,4450 S. Indiana Ave. ,1.7,2.2,2.4,2.3,,TRUE,FALSE,1,41.813284,-87.621673
2017-07-25,4450 N. Sacramento Ave. ,4.2,3.9,3.6,3.5,,TRUE,FALSE,2,41.9627113,-87.7036558
2017-06-21,4450 S. Indiana Ave. ,4.1,5,5.5,3.5,,TRUE,FALSE,2,41.813284,-87.621673
2017-08-09,4450 N. Sacramento Ave. ,8.6,7.5,9.2,6.1,,TRUE,FALSE,3,41.9627113,-87.7036558
2016-09-20,4450 N. Albany Ave. ,1.9,2,2.1,1.2,,TRUE,FALSE,2,41.9627217,-87.7061194
2017-07-25,4450 N. Whipple St. ,12,7.9,4,6,,TRUE,FALSE,1,41.962726,-87.7049319
2017-08-17,4450 N. Sacramento Ave. ,2.4,3.3,5.1,2.3,2.3,TRUE,FALSE,4,41.9627113,-87.7036558
2016-09-30,4450 N. Albany Ave. ,0.5,0.6,0.6,0.4,,TRUE,FALSE,3,41.9627217,-87.7061194
2017-01-04,4450 N. Albany Ave. ,1.2,1.1,1.5,0.5,0.5,TRUE,FALSE,3,41.9627217,-87.7061194
2017-07-25,4450 N. Whipple St. ,6.9,10,8.6,3,,TRUE,FALSE,2,41.962726,-87.7049319
2017-08-09,4450 N. Sacramento Ave. ,1.4,2,2,2.3,,TRUE,FALSE,5,41.9627113,-87.7036558
2016-09-07,4450 W. Grenshaw St.,8.2,6.5,3.5,2.3,2.3,TRUE,FALSE,,41.8671621,-87.7370271
2016-11-02,4450 W. Grenshaw St.,8.7,7.1,2.4,1.4,,TRUE,FALSE,,41.8671621,-87.7370271
2017-07-25,4550 N. Sacramento Ave. ,0.8,0.8,0.8,0.7,,TRUE,FALSE,1,41.9644975,-87.7036649
2016-09-20,4550 N. Albany Ave. ,4.1,11,12,2.5,,TRUE,FALSE,1,41.9644843,-87.7061147
2017-01-04,4550 N. Albany Ave. ,2.3,3.1,3.2,1.9,,TRUE,FALSE,1,41.9644843,-87.7061147
2016-09-20,4550 N. Albany Ave. ,12,20,18,5.1,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-03-01,4550 N. Albany Ave. ,13,23,14,3.1,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-04-19,4550 N. Albany Ave. ,34,43,29,4.4,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-05-17,4550 N. Albany Ave. ,15,35,20,5.3,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-06-14,4550 N. Albany Ave. ,14,25,18,5,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-07-12,4550 N. Albany Ave. ,16,28,20,,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-08-18,4550 N. Albany Ave. ,35,30,25,7.3,,TRUE,FALSE,2,41.9644843,-87.7061147
2017-07-26,4550 N. Sacramento Ave. ,2.5,7.1,7.4,2.3,2.2,TRUE,FALSE,2,41.9644975,-87.7036649
2017-08-09,4550 N. Whipple St. ,1,1.1,1,0.5,,TRUE,FALSE,1,41.964403,-87.7049119
2017-07-25,4550 N. Whipple St. ,2.9,2.3,1.9,1.2,,TRUE,FALSE,2,41.964403,-87.7049119
2017-08-22,4550 N. Sacramento Ave. ,2.9,4,3.6,2.7,,TRUE,FALSE,3,41.9644975,-87.7036649
2017-08-04,4550 N. Sacramento Ave. ,1.7,3.6,6.4,1.8,,TRUE,FALSE,4,41.9644975,-87.7036649
2017-07-26,4550 N. Whipple St. ,0,0,0,0,,TRUE,FALSE,3,41.964403,-87.7049119
2016-09-21,4550 N. Albany Ave. ,1.7,2.5,2.7,,,TRUE,FALSE,3,41.9644843,-87.7061147
2017-01-11,4550 N. Albany Ave. ,1.6,3.4,3.1,2.8,,TRUE,FALSE,3,41.9644843,-87.7061147
2017-08-17,4550 N. Sacramento Ave. ,8.3,7.4,7,3,,TRUE,FALSE,5,41.9644975,-87.7036649
2017-07-26,4550 N. Sacramento Ave. ,2.6,3.5,3.8,3.6,,TRUE,FALSE,6,41.9644975,-87.7036649
2017-07-28,4750 N. Sacramento Ave. ,1.7,2.1,2,1.4,,TRUE,FALSE,1,41.9680029,-87.7036024
2017-07-25,4750 N. Sacramento Ave. ,5.6,8.2,8,3.5,,TRUE,FALSE,2,41.9680029,-87.7036024
2017-04-05,4850 W. Eddy St.,1.2,1.3,1.3,0.5,,TRUE,FALSE,,41.9454584,-87.7491339
2017-04-18,4850 W. Eddy St.,2,0.8,1,0.7,,TRUE,FALSE,,41.9454584,-87.7491339
2017-05-01,4950 W. Cortez St.,9,3,2.7,2.4,2.4,TRUE,FALSE,,41.8997619,-87.7504028
2017-05-03,4950 W. Superior St.,2.7,2.5,2.8,1.5,,TRUE,FALSE,,41.8941785,-87.7502874
2017-04-24,4950 W. Walton St.,0.4,0.5,0.6,0.3,0.3,TRUE,FALSE,,41.8979036,-87.7502847
2017-04-25,5050 N. Neenah Ave.,2.8,3.7,5.1,0.8,,TRUE,FALSE,,41.9734689,-87.7905705
2017-05-10,5050 N. Neenah Ave.,3.8,5,6.3,1.1,,TRUE,FALSE,,41.9734689,-87.7905705
2016-08-29,5250 W. Congress Pkwy. ,2.5,1.7,1.7,1.8,,TRUE,FALSE,1,41.8741134,-87.7568821
2016-08-31,5250 W. Congress Pkwy. ,5.5,5.3,5.1,3.9,,TRUE,FALSE,2,41.8741134,-87.7568821
2016-12-01,5250 W. Congress Pkwy. ,6.1,7.4,6.4,3.7,,TRUE,FALSE,2,41.8741134,-87.7568821
2016-08-30,5250 W. Congress Pkwy. ,2.7,1.2,1.1,0.8,0.8,TRUE,FALSE,3,41.8741134,-87.7568821
2016-08-30,5250 W. Congress Pkwy. ,2.9,3.1,3.7,5.5,,TRUE,FALSE,4,41.8741134,-87.7568821
2017-03-16,5350 N. Bernard St.,3.8,3.3,3,2.6,2.6,FALSE,FALSE,,41.9790414,-87.7151642
2017-04-07,5350 N. Bernard St.,7.3,20,,16,,FALSE,FALSE,,41.9790414,-87.7151642
2016-08-29,5350 W. Congress Pkwy. ,4.3,6.4,6,3.9,,TRUE,FALSE,1,41.8740819,-87.7594773
2016-12-01,5350 W. Congress Pkwy. ,7.9,4,5,3.2,,TRUE,FALSE,1,41.8740819,-87.7594773
